"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"1999"	"1999"	"California"	"06"	"Sacramento County, CA"	"06067"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	15	135168	Unreliable	6.2	18.3	2.9	Unreliable	5.8	17.1	2.7	0.0%
	"1999"	"1999"	"California"	"06"	"Sacramento County, CA"	"06067"	"Large Central Metro"	"1"	"White"	"2106-3"	23	898326	2.6	1.6	3.8	0.5	2.6	1.6	3.8	0.5	0.0%
	"1999"	"1999"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	18	168214	Unreliable	6.3	16.9	2.5	Unreliable	5.7	15.3	2.3	0.0%
	"1999"	"1999"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Large Fringe Metro"	"2"	"White"	"2106-3"	73	1390574	5.2	4.1	6.6	0.6	5.3	4.2	6.7	0.6	0.1%
	"1999"	"1999"	"California"	"06"	"San Diego County, CA"	"06073"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	16	184843	Unreliable	4.9	14.1	2.2	Unreliable	4.9	14.4	2.3	0.0%
	"1999"	"1999"	"California"	"06"	"San Diego County, CA"	"06073"	"Large Central Metro"	"1"	"White"	"2106-3"	34	2286329	1.5	1.0	2.1	0.3	1.4	1.0	2.0	0.2	0.0%
	"1999"	"1999"	"California"	"06"	"San Francisco County, CA"	"06075"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	13	67198	Unreliable	10.3	33.1	5.4	Unreliable	10.0	32.1	5.2	0.0%
	"1999"	"1999"	"California"	"06"	"San Francisco County, CA"	"06075"	"Large Central Metro"	"1"	"White"	"2106-3"	11	450445	Unreliable	1.2	4.4	0.7	Unreliable	1.1	4.3	0.8	0.0%
	"1999"	"1999"	"California"	"06"	"San Joaquin County, CA"	"06077"	"Medium Metro"	"3"	"White"	"2106-3"	16	428605	Unreliable	2.1	6.1	0.9	Unreliable	2.1	6.1	0.9	0.0%
	"1999"	"1999"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Large Central Metro"	"1"	"White"	"2106-3"	15	1155392	Unreliable	0.7	2.1	0.3	Unreliable	0.7	2.0	0.3	0.0%
	"1999"	"1999"	"California"	"06"	"Stanislaus County, CA"	"06099"	"Medium Metro"	"3"	"White"	"2106-3"	15	393298	Unreliable	2.1	6.3	1.0	Unreliable	2.1	6.2	1.0	0.0%
	"1999"	"1999"	"California"	"06"	"Tulare County, CA"	"06107"	"Medium Metro"	"3"	"White"	"2106-3"	14	334642	Unreliable	2.3	7.0	1.1	Unreliable	2.2	6.8	1.1	0.0%
	"1999"	"1999"	"California"	"06"	"Ventura County, CA"	"06111"	"Medium Metro"	"3"	"White"	"2106-3"	12	668337	Unreliable	0.9	3.1	0.5	Unreliable	0.9	3.0	0.5	0.0%
	"1999"	"1999"	"Colorado"	"08"	"Adams County, CO"	"08001"	"Large Fringe Metro"	"2"	"White"	"2106-3"	10	323279	Unreliable	1.5	5.7	1.0	Unreliable	1.3	5.1	0.9	0.0%
	"1999"	"1999"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	13	67655	Unreliable	10.2	32.9	5.3	Unreliable	9.9	31.7	5.2	0.0%
	"1999"	"1999"	"Colorado"	"08"	"Denver County, CO"	"08031"	"Large Central Metro"	"1"	"White"	"2106-3"	17	453801	Unreliable	2.2	6.0	0.9	Unreliable	2.0	5.6	0.9	0.0%
	"1999"	"1999"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"Medium Metro"	"3"	"White"	"2106-3"	12	447623	Unreliable	1.4	4.7	0.8	Unreliable	1.3	4.4	0.7	0.0%
	"1999"	"1999"	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"Large Fringe Metro"	"2"	"White"	"2106-3"	15	499380	Unreliable	1.7	5.0	0.8	Unreliable	1.8	5.3	0.8	0.0%
	"1999"	"1999"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	13	96611	Unreliable	7.2	23.0	3.7	Unreliable	6.4	20.6	3.4	0.0%
	"1999"	"1999"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Medium Metro"	"3"	"White"	"2106-3"	18	747786	Unreliable	1.4	3.8	0.6	Unreliable	1.7	4.6	0.7	0.0%
	"1999"	"1999"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	11	111007	Unreliable	4.9	17.7	3.0	Unreliable	4.4	15.8	2.7	0.0%
	"1999"	"1999"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	12	101316	Unreliable	6.1	20.7	3.4	Unreliable	5.6	18.9	3.2	0.0%
	"1999"	"1999"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	140	354021	39.5	33.0	46.1	3.3	40.3	33.6	47.0	3.4	0.1%
	"1999"	"1999"	"Florida"	"12"	"Broward County, FL"	"12011"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	20	346623	5.8	3.5	8.9	1.3	5.1	3.1	7.9	1.1	0.0%
	"1999"	"1999"	"Florida"	"12"	"Broward County, FL"	"12011"	"Large Fringe Metro"	"2"	"White"	"2106-3"	25	1201482	2.1	1.3	3.1	0.4	2.2	1.4	3.3	0.5	0.0%
	"1999"	"1999"	"Florida"	"12"	"Duval County, FL"	"12031"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	22	218494	10.1	6.3	15.2	2.1	8.9	5.6	13.5	1.9	0.0%
	"1999"	"1999"	"Florida"	"12"	"Duval County, FL"	"12031"	"Large Central Metro"	"1"	"White"	"2106-3"	23	528680	4.4	2.8	6.5	0.9	4.3	2.7	6.4	0.9	0.0%
	"1999"	"1999"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	17	153573	Unreliable	6.4	17.7	2.7	Unreliable	5.8	15.9	2.4	0.0%
	"1999"	"1999"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"Large Central Metro"	"1"	"White"	"2106-3"	23	801974	2.9	1.8	4.3	0.6	2.8	1.8	4.2	0.6	0.0%
	"1999"	"1999"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	98	482192	20.3	16.5	24.8	2.1	19.0	15.4	23.2	1.9	0.1%
	"1999"	"1999"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Large Central Metro"	"1"	"White"	"2106-3"	59	1694152	3.5	2.7	4.5	0.5	3.4	2.6	4.4	0.4	0.0%
	"1999"	"1999"	"Florida"	"12"	"Orange County, FL"	"12095"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	19	169863	Unreliable	6.7	17.5	2.6	Unreliable	5.8	15.1	2.2	0.0%
	"1999"	"1999"	"Florida"	"12"	"Orange County, FL"	"12095"	"Large Central Metro"	"1"	"White"	"2106-3"	13	668755	Unreliable	1.0	3.3	0.5	Unreliable	0.9	3.0	0.5	0.0%
	"1999"	"1999"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	19	165030	Unreliable	6.9	18.0	2.6	Unreliable	6.4	16.6	2.5	0.0%
	"1999"	"1999"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Large Fringe Metro"	"2"	"White"	"2106-3"	24	929281	2.6	1.7	3.8	0.5	3.3	2.1	5.0	0.7	0.0%
	"1999"	"1999"	"Florida"	"12"	"Pinellas County, FL"	"12103"	"Large Central Metro"	"1"	"White"	"2106-3"	13	809227	Unreliable	0.9	2.7	0.4	Unreliable	0.8	2.8	0.5	0.0%
	"1999"	"1999"	"Georgia"	"13"	"Bibb County, GA"	"13021"	"Small Metro"	"4"	"Black or African American"	"2054-5"	20	72999	27.4	16.7	42.3	6.1	26.6	16.0	41.5	6.0	0.0%
	"1999"	"1999"	"Georgia"	"13"	"Chatham County, GA"	"13051"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	27	94723	28.5	18.8	41.5	5.5	27.4	17.9	40.1	5.3	0.0%
	"1999"	"1999"	"Georgia"	"13"	"Clayton County, GA"	"13063"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	10	117055	Unreliable	4.1	15.7	2.7	Unreliable	3.2	12.2	2.1	0.0%
	"1999"	"1999"	"Georgia"	"13"	"Cobb County, GA"	"13067"	"Large Fringe Metro"	"2"	"White"	"2106-3"	11	458049	Unreliable	1.2	4.3	0.7	Unreliable	1.2	4.1	0.7	0.0%
	"1999"	"1999"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	32	359446	8.9	6.1	12.6	1.6	7.6	5.2	10.8	1.4	0.0%
	"1999"	"1999"	"Georgia"	"13"	"DeKalb County, GA"	"13089"	"Large Fringe Metro"	"2"	"White"	"2106-3"	11	266858	Unreliable	2.1	7.4	1.2	Unreliable	1.8	6.6	1.1	0.0%
	"1999"	"1999"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	89	369214	24.1	19.4	29.7	2.6	21.3	17.1	26.3	2.3	0.1%
	"1999"	"1999"	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Large Central Metro"	"1"	"White"	"2106-3"	17	411211	Unreliable	2.4	6.6	1.0	Unreliable	2.1	5.8	0.9	0.0%
	"1999"	"1999"	"Georgia"	"13"	"Richmond County, GA"	"13245"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	12	100078	Unreliable	6.2	20.9	3.5	Unreliable	6.0	20.2	3.4	0.0%
	"1999"	"1999"	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"Medium Metro"	"3"	"Asian or Pacific Islander"	"A-PI"	16	614915	Unreliable	1.5	4.2	0.7	Unreliable	1.5	4.3	0.7	0.0%
	"1999"	"1999"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	390	1437287	27.1	24.4	29.8	1.4	26.2	23.6	28.8	1.3	0.3%
	"1999"	"1999"	"Illinois"	"17"	"Cook County, IL"	"17031"	"Large Central Metro"	"1"	"White"	"2106-3"	149	3630170	4.1	3.4	4.8	0.3	4.1	3.4	4.7	0.3	0.1%
	"1999"	"1999"	"Illinois"	"17"	"Kane County, IL"	"17089"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	11	24894	Unreliable	22.1	79.1	13.3	Unreliable	17.7	63.6	10.8	0.0%
	"1999"	"1999"	"Illinois"	"17"	"St. Clair County, IL"	"17163"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	26	74568	34.9	22.8	51.1	6.8	32.8	21.5	48.1	6.5	0.0%
	"1999"	"1999"	"Indiana"	"18"	"Lake County, IN"	"18089"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	71	125585	56.5	44.2	71.3	6.7	56.0	43.7	70.8	6.7	0.1%
	"1999"	"1999"	"Indiana"	"18"	"Lake County, IN"	"18089"	"Large Fringe Metro"	"2"	"White"	"2106-3"	17	352670	Unreliable	2.8	7.7	1.2	Unreliable	2.9	7.9	1.2	0.0%
	"1999"	"1999"	"Indiana"	"18"	"Marion County, IN"	"18097"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	67	211711	31.6	24.5	40.2	3.9	30.1	23.3	38.3	3.7	0.1%
	"1999"	"1999"	"Indiana"	"18"	"Marion County, IN"	"18097"	"Large Central Metro"	"1"	"White"	"2106-3"	20	629234	3.2	1.9	4.9	0.7	3.0	1.8	4.6	0.7	0.0%
	"1999"	"1999"	"Indiana"	"18"	"St. Joseph County, IN"	"18141"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	12	31798	Unreliable	19.5	65.9	10.9	Unreliable	18.5	62.7	10.5	0.0%
	"1999"	"1999"	"Kansas"	"20"	"Wyandotte County, KS"	"20209"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	21	46425	45.2	28.0	69.1	9.9	43.2	26.8	66.1	9.5	0.0%
	"1999"	"1999"	"Kansas"	"20"	"Wyandotte County, KS"	"20209"	"Large Fringe Metro"	"2"	"White"	"2106-3"	10	107028	Unreliable	4.5	17.2	3.0	Unreliable	4.3	16.7	2.9	0.0%
	"1999"	"1999"	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	23	133279	17.3	10.9	25.9	3.6	15.9	10.1	23.9	3.3	0.0%
	"1999"	"1999"	"Kentucky"	"21"	"Jefferson County, KY"	"21111"	"Large Central Metro"	"1"	"White"	"2106-3"	12	546783	Unreliable	1.1	3.8	0.6	Unreliable	1.2	4.0	0.7	0.0%
	"1999"	"1999"	"Louisiana"	"22"	"Caddo Parish, LA"	"22017"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	25	112635	22.2	14.4	32.8	4.4	21.7	13.9	32.3	4.4	0.0%
	"1999"	"1999"	"Louisiana"	"22"	"East Baton Rouge Parish, LA"	"22033"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	41	165290	24.8	17.8	33.7	3.9	22.3	15.9	30.5	3.6	0.0%
	"1999"	"1999"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	15	104408	Unreliable	8.0	23.7	3.7	Unreliable	7.0	20.6	3.3	0.0%
	"1999"	"1999"	"Louisiana"	"22"	"Jefferson Parish, LA"	"22051"	"Large Fringe Metro"	"2"	"White"	"2106-3"	12	335802	Unreliable	1.8	6.2	1.0	Unreliable	1.8	6.2	1.0	0.0%
	"1999"	"1999"	"Louisiana"	"22"	"Orleans Parish, LA"	"22071"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	114	329086	34.6	28.3	41.0	3.2	33.0	26.9	39.2	3.1	0.1%
	"1999"	"1999"	"Maryland"	"24"	"Baltimore County, MD"	"24005"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	15	149817	Unreliable	5.6	16.5	2.6	Unreliable	5.0	14.8	2.3	0.0%
	"1999"	"1999"	"Maryland"	"24"	"Prince George's County, MD"	"24033"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	85	509471	16.7	13.3	20.6	1.8	15.5	12.4	19.2	1.7	0.1%
	"1999"	"1999"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	213	427347	49.8	43.1	56.5	3.4	48.2	41.7	54.7	3.3	0.2%
	"1999"	"1999"	"Maryland"	"24"	"Baltimore city, MD"	"24510"	"Large Central Metro"	"1"	"White"	"2106-3"	12	216591	Unreliable	2.9	9.7	1.6	Unreliable	2.8	9.6	1.6	0.0%
	"1999"	"1999"	"Massachusetts"	"25"	"Hampden County, MA"	"25013"	"Medium Metro"	"3"	"White"	"2106-3"	12	402859	Unreliable	1.5	5.2	0.9	Unreliable	1.6	5.5	0.9	0.0%
	"1999"	"1999"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	16	179930	Unreliable	5.1	14.4	2.2	Unreliable	4.7	13.4	2.1	0.0%
	"1999"	"1999"	"Michigan"	"26"	"Genesee County, MI"	"26049"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	21	91591	22.9	14.2	35.0	5.0	23.4	14.5	35.7	5.1	0.0%
	"1999"	"1999"	"Michigan"	"26"	"Macomb County, MI"	"26099"	"Large Fringe Metro"	"2"	"White"	"2106-3"	10	741222	Unreliable	0.6	2.5	0.4	Unreliable	0.6	2.4	0.4	0.0%
	"1999"	"1999"	"Michigan"	"26"	"Oakland County, MI"	"26125"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	19	121754	Unreliable	9.4	24.4	3.6	Unreliable	8.8	22.9	3.4	0.0%
	"1999"	"1999"	"Michigan"	"26"	"Oakland County, MI"	"26125"	"Large Fringe Metro"	"2"	"White"	"2106-3"	15	1012867	Unreliable	0.8	2.4	0.4	Unreliable	0.8	2.3	0.4	0.0%
	"1999"	"1999"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	313	888405	35.2	31.3	39.1	2.0	34.5	30.6	38.3	2.0	0.3%
	"1999"	"1999"	"Michigan"	"26"	"Wayne County, MI"	"26163"	"Large Central Metro"	"1"	"White"	"2106-3"	36	1134502	3.2	2.2	4.4	0.5	3.2	2.2	4.4	0.5	0.0%
	"1999"	"1999"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	16	106551	Unreliable	8.6	24.4	3.8	Unreliable	6.9	19.5	3.0	0.0%
	"1999"	"1999"	"Minnesota"	"27"	"Hennepin County, MN"	"27053"	"Large Central Metro"	"1"	"White"	"2106-3"	10	933814	Unreliable	0.5	2.0	0.3	Unreliable	0.5	2.0	0.3	0.0%
	"1999"	"1999"	"Mississippi"	"28"	"Hinds County, MS"	"28049"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	35	152773	22.9	16.0	31.9	3.9	20.4	14.0	28.6	3.5	0.0%
	"1999"	"1999"	"Missouri"	"29"	"Jackson County, MO"	"29095"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	50	156780	31.9	23.7	42.0	4.5	30.2	22.4	39.8	4.3	0.0%
	"1999"	"1999"	"Missouri"	"29"	"Jackson County, MO"	"29095"	"Large Central Metro"	"1"	"White"	"2106-3"	27	482453	5.6	3.7	8.1	1.1	5.6	3.7	8.1	1.1	0.0%
	"1999"	"1999"	"Missouri"	"29"	"St. Louis County, MO"	"29189"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	23	193760	11.9	7.5	17.8	2.5	11.1	7.0	16.7	2.3	0.0%
	"1999"	"1999"	"Missouri"	"29"	"St. Louis city, MO"	"29510"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	72	181911	39.6	31.0	49.8	4.7	38.8	30.3	49.0	4.6	0.1%
	"1999"	"1999"	"Nebraska"	"31"	"Douglas County, NE"	"31055"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	11	55537	Unreliable	9.9	35.4	6.0	Unreliable	9.2	33.1	5.7	0.0%
	"1999"	"1999"	"Nevada"	"32"	"Clark County, NV"	"32003"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	25	131887	19.0	12.3	28.0	3.8	18.1	11.6	26.9	3.7	0.0%
	"1999"	"1999"	"Nevada"	"32"	"Clark County, NV"	"32003"	"Large Central Metro"	"1"	"White"	"2106-3"	46	1094449	4.2	3.1	5.6	0.6	4.2	3.1	5.7	0.6	0.0%
	"1999"	"1999"	"New Jersey"	"34"	"Camden County, NJ"	"34007"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	15	99259	Unreliable	8.5	24.9	3.9	Unreliable	7.8	23.1	3.6	0.0%
	"1999"	"1999"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	57	344689	16.5	12.5	21.4	2.2	14.9	11.2	19.3	2.0	0.0%
	"1999"	"1999"	"New Jersey"	"34"	"Essex County, NJ"	"34013"	"Large Central Metro"	"1"	"White"	"2106-3"	10	410632	Unreliable	1.2	4.5	0.8	Unreliable	1.2	4.7	0.8	0.0%
	"1999"	"1999"	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"Medium Metro"	"3"	"White"	"2106-3"	30	495289	6.1	4.1	8.6	1.1	5.9	4.0	8.5	1.1	0.0%
	"1999"	"1999"	"New York"	"36"	"Bronx County, NY"	"36005"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	45	583356	7.7	5.6	10.3	1.1	7.0	5.1	9.4	1.0	0.0%
	"1999"	"1999"	"New York"	"36"	"Bronx County, NY"	"36005"	"Large Central Metro"	"1"	"White"	"2106-3"	43	667421	6.4	4.7	8.7	1.0	6.3	4.5	8.5	1.0	0.0%
	"1999"	"1999"	"New York"	"36"	"Erie County, NY"	"36029"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	13	128309	Unreliable	5.4	17.3	2.8	Unreliable	5.3	17.0	2.8	0.0%
	"1999"	"1999"	"New York"	"36"	"Kings County, NY"	"36047"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	134	980848	13.7	11.3	16.0	1.2	12.5	10.4	14.6	1.1	0.1%
	"1999"	"1999"	"New York"	"36"	"Kings County, NY"	"36047"	"Large Central Metro"	"1"	"White"	"2106-3"	41	1254816	3.3	2.3	4.4	0.5	3.2	2.3	4.4	0.5	0.0%
	"1999"	"1999"	"New York"	"36"	"Monroe County, NY"	"36055"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	13	107139	Unreliable	6.5	20.7	3.4	Unreliable	5.7	18.3	3.0	0.0%
	"1999"	"1999"	"New York"	"36"	"Monroe County, NY"	"36055"	"Large Central Metro"	"1"	"White"	"2106-3"	10	604881	Unreliable	0.8	3.0	0.5	Unreliable	0.8	3.0	0.5	0.0%
	"1999"	"1999"	"New York"	"36"	"Nassau County, NY"	"36059"	"Large Fringe Metro"	"2"	"White"	"2106-3"	13	1117264	Unreliable	0.6	2.0	0.3	Unreliable	0.7	2.2	0.4	0.0%
	"1999"	"1999"	"New York"	"36"	"New York County, NY"	"36061"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	27	343553	7.9	5.2	11.4	1.5	7.2	4.8	10.5	1.4	0.0%
	"1999"	"1999"	"New York"	"36"	"New York County, NY"	"36061"	"Large Central Metro"	"1"	"White"	"2106-3"	36	1027738	3.5	2.5	4.8	0.6	2.9	2.0	4.1	0.5	0.0%
	"1999"	"1999"	"New York"	"36"	"Queens County, NY"	"36081"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	44	503180	8.7	6.4	11.7	1.3	8.3	6.0	11.2	1.3	0.0%
